Food Name,Description,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Copper (mg),Zinc (mg),Chloride (mg),Manganese (mg),Selenium (µg),Iodine (µg),Retinol (µg),Carotene (µg),Retinol Equivalent (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Niacin equivalent (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg)
"Pork, belly joint, roasted, lean and fat","10 samples, 65% lean and 35% fat",55.80,4.02,25.10,21.40,0.00,293.00,1219,0.00,,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,37.34,7.43,17.48,3.48,2.24,0.45,42.07,8.37,42.58,8.47,19.54,3.89,19.89,3.96,37.19,7.40,0.15,0.03,0.69,0.14,85.00,90.00,310.00,9.00,20.00,190.00,0.70,0.06,2.50,93.00,Tr,15.00,N,Tr,Tr,Tr,1.00,0.31,,0.47,0.19,8.40,4.50,12.90,0.30,0.50,3.00,1.42,4.00,0.00
"Pork, belly joint/slices, grilled, lean and fat","25 samples, 58% lean and 42% fat",48.60,4.38,27.40,23.40,0.00,320.00,1332,0.00,,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.80,8.23,16.26,3.54,2.01,0.44,43.05,9.37,43.54,9.48,18.15,3.95,18.45,4.02,37.67,8.20,0.13,0.03,0.61,0.13,97.00,97.00,350.00,20.00,23.00,220.00,0.90,0.12,2.90,96.00,0.02,17.00,N,Tr,Tr,Tr,1.10,0.31,,0.60,0.18,7.00,4.90,11.90,0.38,0.50,8.00,1.77,4.00,0.00
"Pork, belly joint/slices, raw, lean and fat",12 samples,61.70,3.06,19.10,20.20,0.00,258.00,1072,0.00,,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,38.57,7.25,14.84,2.79,1.85,0.35,44.01,8.27,44.47,8.35,16.66,3.13,16.86,3.17,38.45,7.22,0.12,0.02,0.49,0.09,71.00,69.00,290.00,6.00,17.00,160.00,0.60,0.08,1.70,67.00,0.02,12.00,N,Tr,Tr,Tr,0.80,0.22,,0.43,0.22,5.00,3.40,8.40,0.39,0.50,8.00,1.31,1.00,0.00
"Pork, belly joint/slices, raw, lean and fat, weighed with bone",Calculated from 18-557,56.80,2.81,17.60,18.60,0.00,238.00,987,0.00,,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,38.57,6.67,14.84,2.57,1.85,0.32,44.01,7.61,44.47,7.68,16.66,2.88,16.86,2.92,38.45,6.64,0.12,0.02,0.49,0.08,65.00,75.00,270.00,6.00,16.00,150.00,0.60,0.07,1.60,62.00,0.02,11.00,N,Tr,Tr,Tr,0.70,0.20,,0.40,0.20,4.60,3.10,7.70,0.36,0.50,7.00,1.21,1.00,0.00
"Pork, crackling, cooked","From various cuts of pork, grilled and roasted",16.90,5.79,36.20,45.00,0.00,550.00,2280,0.00,,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,35.60,15.30,,,,,,,45.60,19.60,,,18.40,7.90,,,,,0.50,0.30,105.00,N,N,N,N,N,N,N,N,N,N,N,N,Tr,Tr,Tr,N,N,,N,N,N,N,N,N,N,N,N,N,0.00
"Pork, diced, casseroled, lean",Extra lean types. Calculated from 18-512,58.70,5.88,36.80,5.30,0.00,195.00,821.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.77,1.75,12.24,0.59,1.12,0.05,48.18,2.31,48.34,2.31,13.50,0.65,13.50,0.65,36.59,1.75,0.18,Tr,0.16,Tr,106.50,89.00,599.00,8.00,41.00,326.00,1.02,0.03,2.90,83.00,0.02,35.00,Tr,Tr,Tr,Tr,1.00,0.38,,0.59,0.11,13.50,7.80,21.30,0.43,0.60,8.00,1.09,6.20,0.00
"Pork, diced, casseroled, lean and fat",Extra lean types. Calculated from 98% lean and 2% fat,58.20,5.81,36.30,6.40,0.00,203.00,854.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.79,2.14,12.23,0.71,1.12,0.06,48.18,2.81,48.34,2.81,13.50,0.79,13.50,0.79,36.61,2.14,0.18,Tr,0.16,Tr,106.00,88.00,590.00,8.00,40.00,321.00,1.00,0.03,2.90,82.00,0.02,35.00,Tr,Tr,Tr,Tr,1.00,0.38,,0.58,0.11,13.30,7.70,21.00,0.42,0.60,8.00,1.07,6.10,0.00
"Pork, diced, kebabs, grilled, lean",Extra lean types. Calculated from 18-529,57.40,6.07,37.90,5.40,0.00,200.00,845.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.77,1.80,12.24,0.61,1.12,0.05,48.18,2.38,48.34,2.38,13.50,0.67,13.50,0.67,36.59,1.80,0.18,Tr,0.16,Tr,109.90,92.00,618.00,8.00,43.00,336.00,1.05,0.03,3.00,85.00,0.02,36.00,Tr,Tr,Tr,Tr,1.00,0.39,,0.60,0.12,13.90,8.00,21.90,0.45,0.70,8.00,1.13,6.30,0.00
"Pork, diced, kebabs, grilled, lean and fat",Extra lean types. Calculated from 98% lean and 2% fat,56.90,5.99,37.40,6.50,0.00,208.00,877.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.79,2.19,12.23,0.73,1.12,0.06,48.18,2.88,48.34,2.88,13.50,0.81,13.50,0.81,36.61,2.19,0.18,Tr,0.16,Tr,109.30,91.00,608.00,8.00,42.00,331.00,1.03,0.03,3.00,84.00,0.02,36.00,Tr,Tr,Tr,Tr,1.00,0.39,,0.59,0.12,13.70,7.90,21.60,0.44,0.70,8.00,1.11,6.20,0.00
"Pork, diced, raw, lean",Extra lean types. Data as for pork leg (18-512),74.00,3.70,23.10,3.30,0.00,122.00,515.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.77,1.10,12.24,0.37,1.12,0.03,48.18,1.45,48.34,1.45,13.50,0.41,13.50,0.41,36.59,1.10,0.18,Tr,0.16,Tr,67.00,56.00,377.00,5.00,26.00,205.00,0.64,0.02,1.80,52.00,0.01,22.00,Tr,Tr,Tr,Tr,0.60,0.30,,0.46,0.09,10.60,4.90,15.50,0.34,0.50,5.00,0.86,4.30,0.00
