Food Name,Description,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Copper (mg),Zinc (mg),Chloride (mg),Manganese (mg),Selenium (µg),Iodine (µg),Retinol (µg),Carotene (µg),Retinol Equivalent (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Niacin equivalent (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg)
"Bhaji, cauliflower, homemade",Recipe,68.90,0.46,2.90,20.10,5.50,211.00,874,0.20,1.6,3.80,1.5,Tr,1.6,0.6,0.0,0.0,,2.0,2.2,,9.21,,,,,,,,7.63,,,,2.09,,,,,,0.02,0.00,19.00,303.00,24.00,15.00,45.00,0.63,0.07,0.40,99.00,0.17,1.00,N,0.00,229.00,38.00,0.00,1.83,32.70,0.06,0.09,0.60,0.50,1.10,0.13,0.00,30.00,0.88,1.50,30.00
"Bhaji, cauliflower, potato and pea, with butter",Punjabi dish. Recipe from manufacturer,71.90,0.56,3.50,11.30,8.20,145.00,603,5.50,0.2,2.50,1.1,0.0,1.0,0.3,0.0,Tr,,1.9,,,7.10,,,,,,,,2.70,,,,0.70,,,,,,,29.00,400.00,390.00,23.00,22.00,65.00,1.00,0.06,0.60,640.00,0.30,Tr,6.00,105.00,195.00,138.00,0.10,0.50,,0.16,0.04,0.60,0.80,1.40,0.26,Tr,29.00,0.42,0.90,17.00
"Bhaji, cauliflower, potato and pea, with vegetable oil",Punjabi dish. Recipe from manufacturer,69.90,0.55,3.40,13.70,8.20,166.00,688,5.50,0.2,2.50,1.1,0.0,1.0,0.3,0.0,0.0,,1.9,,,1.50,,,,,,,,4.70,,,,6.60,,,,,,,0.00,300.00,390.00,21.00,22.00,62.00,1.00,0.05,0.60,500.00,0.30,Tr,3.00,0.00,140.00,23.00,0.00,3.34,,0.16,0.04,0.60,0.80,1.40,0.26,0.00,29.00,0.41,0.90,17.00
"Bhaji, green bean",Punjabi dish. Recipe from manufacturer,79.00,0.35,2.20,7.60,5.00,91.00,379,0.90,Tr,4.10,1.6,0.0,2.0,0.4,0.0,0.0,,2.1,,,0.70,,,,,,,,2.60,,,,3.30,,,,,,,0.00,460.00,280.00,46.00,26.00,46.00,1.90,0.04,0.30,720.00,N,N,N,0.00,420.00,70.00,0.00,1.96,,0.05,0.06,0.80,0.50,1.30,0.05,0.00,37.00,0.09,0.90,7.00
"Bhaji, karela, with butter ghee, homemade",Recipe from a personal collection,81.40,0.29,1.80,10.60,1.20,103.00,426,0.90,Tr,Tr,Tr,0.0,Tr,Tr,0.0,Tr,,2.4,,,6.60,,,,,,,,2.50,,,,0.50,,,,,,,27.00,N,340.00,29.00,33.00,51.00,2.20,0.26,0.50,N,0.40,N,N,67.00,780.00,197.00,0.20,N,,0.07,0.05,0.50,0.30,0.80,N,Tr,19.00,N,N,81.00
"Bhaji, karela, with vegetable oil, homemade",Recipe from a personal collection,81.40,0.29,1.80,10.60,1.20,103.00,426,0.90,Tr,Tr,Tr,0.0,Tr,Tr,0.0,0.0,,2.4,,,1.10,,,,,,,,3.60,,,,5.00,,,,,,,0.00,N,340.00,29.00,33.00,51.00,2.20,0.26,0.50,N,0.40,N,N,0.00,730.00,122.00,0.00,N,,0.07,0.05,0.50,0.30,0.80,N,0.00,19.00,N,N,81.00
"Bhaji, mushroom, homemade",Mushroom and onion. Recipe from review of recipe collection,73.30,0.33,1.20,16.60,4.10,168.00,693,0.10,,3.20,1.1,Tr,1.0,1.0,0.0,0.0,,1.2,1.5,,1.11,,,,,,,,9.66,,,,4.88,,,,,,Tr,0.00,9.00,309.00,19.00,11.00,68.00,0.55,0.19,0.40,105.00,0.11,10.00,2.00,0.00,108.00,18.00,0.00,3.76,18.48,0.10,0.14,1.30,0.40,1.30,1.70,0.00,14.00,1.10,5.70,1.00
"Bhaji, mustard leaves and spinach, homemade",Recipe from literature sources,81.90,0.51,3.10,6.50,3.80,84.00,348,2.00,,1.60,0.6,,0.5,0.3,0.0,0.0,,N,N,,3.75,,,,,,,,1.60,,,,0.47,,,,,,0.20,15.20,135.00,458.00,163.00,47.00,56.00,2.60,N,N,122.00,N,N,N,68.00,1883.00,382.00,0.10,2.18,,0.07,0.11,0.90,N,N,N,0.00,N,0.21,N,30.00
"Bhaji, mustard leaves, homemade",Recipe from literature sources,82.50,0.49,3.00,6.30,4.60,85.00,355,3.10,,1.30,0.6,,0.5,0.1,0.0,0.0,,N,N,,2.97,,,,,,,,1.28,,,,0.25,,,,,,0.20,15.20,90.00,391.00,148.00,38.00,56.00,2.60,N,N,N,N,N,N,68.00,694.00,184.00,0.10,1.84,,0.07,0.13,0.80,N,N,N,0.00,N,0.19,N,39.00
"Bhaji, okra, Bangladeshi, with butter ghee, homemade","Okra, onion and spices. Recipe adapted from literature sources",78.20,0.36,2.40,6.20,7.70,97.00,400,0.40,1.3,5.60,1.9,Tr,1.7,1.9,0.0,Tr,,3.3,N,,3.50,,,,,,,,1.52,,,,0.49,,,,,,0.12,14.00,7.00,299.00,112.00,46.00,53.00,0.96,0.11,0.50,65.00,Tr,1.00,N,53.00,401.00,119.00,0.10,N,,0.16,0.04,0.60,0.50,1.30,0.22,Tr,29.00,0.18,N,8.00
"Bhaji, okra, Bangladeshi, with vegetable oil, homemade","Okra, onion and spices. Recipe adapted from literature sources",78.20,0.36,2.40,6.40,7.70,97.00,400,0.40,1.3,5.60,1.9,Tr,1.7,1.9,0.0,0.0,,3.3,N,,0.55,,,,,,,,3.44,,,,1.90,,,,,,Tr,0.00,7.00,299.00,112.00,46.00,53.00,0.97,0.11,0.50,63.00,N,1.00,N,0.00,295.00,49.00,0.00,N,6.41,0.16,0.04,0.60,0.50,1.30,0.22,0.00,29.00,0.18,N,8.00
"Bhaji, okra, Islami, homemade",Recipe from the Aga Khan Health Board for the United Kingdom. Very dry dish,58.20,0.68,4.60,17.10,8.90,201.00,833,0.60,1.0,7.00,2.3,Tr,2.4,2.2,0.0,0.0,,5.9,N,,1.36,,,,,,,,9.06,,,,4.79,,,,,,Tr,0.00,75.00,580.00,234.00,103.00,102.00,2.63,0.23,1.00,190.00,N,2.00,N,0.00,823.00,136.00,0.00,N,16.49,0.29,0.09,1.40,0.70,2.10,0.30,0.00,62.00,0.34,N,16.00
"Bhaji, pea, homemade",Pakistani dish. Recipe from literature sources,45.20,0.80,5.00,34.60,9.30,363.00,1496,4.30,1.7,3.20,0.7,Tr,0.5,1.8,0.0,0.2,,3.3,3.8,,21.58,,,,,,,,8.81,,,,1.29,,,,,,1.17,86.80,306.00,299.00,38.00,28.00,101.00,2.31,0.06,0.80,503.00,0.34,Tr,19.00,390.00,566.00,485.00,0.40,0.96,26.84,0.39,0.05,1.40,0.80,2.20,0.11,0.10,21.00,0.12,0.50,9.00
"Bhaji, potato and fenugreek leaves, homemade",Gujerati dish. Recipe from review of recipe collection,55.70,0.59,3.70,15.90,18.80,222.00,925,N,,N,N,Tr,N,N,0.0,0.0,,N,N,,N,,,,,,,,N,,,,N,,,,,,Tr,0.00,47.00,465.00,86.00,51.00,65.00,5.16,0.18,N,142.00,N,N,N,0.00,1877.00,313.00,0.00,N,17.29,0.18,0.10,0.80,N,0.80,N,0.00,N,N,N,20.00
"Bhaji, potato and green pepper, homemade","Punjabi dish. Potato, pepper, onion and tomato. Recipe from dietary survey records",74.90,0.25,1.50,9.00,12.70,134.00,561,9.80,,2.60,1.1,Tr,1.2,0.3,0.0,0.0,,1.6,N,,0.63,,,,,,,,5.22,,,,2.66,,,,,,Tr,0.00,3.00,327.00,13.00,17.00,32.00,0.42,0.06,0.20,69.00,0.12,Tr,4.00,0.00,140.00,23.00,0.00,2.33,13.28,0.10,0.01,0.30,0.40,0.70,0.31,0.00,18.00,0.22,N,27.00
"Bhaji, potato and onion, homemade",Bangladeshi dish. Recipe adapted from literature sources,67.20,0.35,2.10,10.10,16.70,162.00,674,12.20,0.9,3.40,1.2,Tr,0.9,1.2,0.0,0.1,0.0,1.6,2.6,,6.32,,,,,,,,2.58,,,,0.41,,,,,,0.35,25.80,92.00,413.00,27.00,22.00,44.00,0.72,0.08,0.30,224.00,0.13,Tr,9.00,116.00,86.00,130.00,0.10,0.37,1.60,0.17,0.03,0.30,0.50,0.80,0.32,0.00,8.00,0.33,0.60,7.00
"Bhaji, potato, onion and mushroom, homemade",Recipe from review of recipe collection,64.70,0.32,1.70,17.30,12.10,211.00,871,7.30,,3.50,1.3,Tr,1.0,1.2,0.0,0.0,,1.6,2.2,,1.17,,,,,,,,10.11,,,,5.08,,,,,,Tr,0.00,9.00,371.00,23.00,18.00,49.00,0.78,0.11,0.30,95.00,0.17,3.00,5.00,0.00,113.00,19.00,0.00,3.95,19.62,0.14,0.05,0.70,0.50,1.20,0.25,0.00,9.00,0.46,2.10,4.00
"Bhaji, potato, spinach and cauliflower, homemade","Recipe from Wharton et al, 1983",72.00,0.35,2.20,15.10,7.10,169.00,699,5.20,0.3,1.60,0.6,0.0,0.5,0.5,0.0,Tr,,1.4,,,9.60,,,,,,,,3.60,,,,0.70,,,,,,,40.00,37.00,220.00,52.00,18.00,37.00,1.00,0.04,0.40,47.00,0.30,1.00,2.00,97.00,1090.00,279.00,0.30,0.91,,0.10,0.03,0.50,0.50,1.00,0.17,Tr,42.00,0.27,0.40,10.00
"Bhaji, potato, with butter ghee, homemade",Recipe from literature sources,67.10,0.35,2.20,9.80,16.60,161.00,669,14.70,0.3,1.50,0.5,Tr,0.4,0.6,0.0,Tr,,1.4,2.1,,5.70,,,,,,,,2.50,,,,0.48,,,,,,0.20,23.80,4.00,467.00,24.00,26.00,43.00,1.08,0.08,0.30,85.00,0.11,Tr,3.00,89.00,202.00,123.00,0.10,0.61,0.83,0.16,0.02,0.30,0.50,0.80,0.35,Tr,7.00,0.29,0.30,9.00
"Bhaji, potato, with vegetable oil, homemade",Recipe from literature sources,67.10,0.35,2.20,10.00,16.60,161.00,670,14.70,0.3,1.50,0.5,Tr,0.4,0.6,0.0,0.0,,1.4,2.1,,0.69,,,,,,,,5.75,,,,2.88,,,,,,Tr,0.00,4.00,467.00,24.00,26.00,43.00,1.09,0.08,0.30,82.00,0.11,Tr,3.00,0.00,22.00,4.00,0.00,2.20,11.71,0.16,0.02,0.30,0.50,0.80,0.44,0.00,7.00,0.36,0.40,9.00
"Bhaji, spinach and potato, homemade",Recipe from review of recipe collection,62.60,0.58,3.60,14.10,13.40,192.00,796,11.90,,1.60,0.5,Tr,0.5,0.6,0.0,0.0,,2.4,N,,0.98,,,,,,,,7.98,,,,4.26,,,,,,Tr,0.00,102.00,683.00,124.00,54.00,63.00,1.84,0.09,0.70,133.00,0.52,1.00,5.00,0.00,2514.00,419.00,0.00,4.13,284.45,0.15,0.06,0.90,0.90,1.80,0.35,0.00,53.00,0.37,0.20,16.00
"Bhaji, spinach, homemade","Recipe from Wharton et al, 1983",80.80,0.53,3.30,6.90,2.50,83.00,342,0.20,,2.10,0.7,,0.7,0.7,0.0,0.0,,2.4,N,,3.82,,,,,,,,1.60,,,,0.74,,,,,,0.20,15.20,213.00,573.00,190.00,61.00,56.00,2.60,0.05,0.80,189.00,0.66,1.00,6.00,68.00,3936.00,724.00,0.10,1.98,,0.07,0.09,1.10,0.80,1.90,0.16,0.00,62.00,0.24,0.10,15.00
"Bhaji, turnip and onion, homemade",Punjabi dish. Recipe from dietary survey records,78.00,0.19,1.20,10.60,7.10,126.00,524,0.30,,5.90,2.6,Tr,2.0,1.4,0.0,Tr,,2.2,N,,6.20,,,,,,,,2.73,,,,0.64,,,,,,0.22,26.10,11.00,251.00,45.00,10.00,39.00,0.31,0.03,0.10,55.00,0.12,1.00,N,98.00,217.00,134.00,0.10,0.76,0.09,0.07,0.01,0.30,0.30,0.60,0.10,Tr,9.00,0.15,0.40,7.00
"Bhaji, turnip, homemade",Recipe from literature sources,71.40,0.20,1.30,16.40,6.50,179.00,739,0.60,0.2,5.40,2.7,Tr,2.0,0.8,0.0,Tr,,2.6,N,,9.59,,,,,,,,4.22,,,,0.97,,,,,,0.34,40.20,17.00,341.00,60.00,14.00,50.00,1.17,0.04,0.20,51.00,0.47,1.00,N,151.00,339.00,207.00,0.20,0.98,0.15,0.05,0.02,0.50,0.30,0.80,0.10,Tr,8.00,0.19,0.20,10.00
"Bhaji, vegetable, Punjabi, with butter",Recipe from manufacturer. Mixed vegetables,75.00,0.57,3.50,7.20,8.20,108.00,449,1.50,1.2,5.50,1.9,0.0,1.7,1.9,0.0,Tr,,3.2,,,4.30,,,,,,,,1.60,,,,0.60,,,,,,,17.00,450.00,340.00,41.00,23.00,68.00,1.50,0.06,0.60,710.00,0.30,1.00,5.00,63.00,2155.00,422.00,0.10,0.72,,0.16,0.05,1.00,0.70,1.70,0.18,Tr,31.00,0.28,1.10,12.00
"Bhaji, vegetable, Punjabi, with vegetable oil",Recipe from manufacturer. Mixed vegetables,73.80,0.56,3.50,8.60,8.20,120.00,501,1.50,1.2,5.50,1.9,0.0,1.7,1.9,0.0,0.0,,3.2,,,1.00,,,,,,,,2.90,,,,4.10,,,,,,,0.00,390.00,340.00,40.00,23.00,66.00,1.50,0.06,0.60,620.00,0.30,1.00,3.00,0.00,2125.00,35.00,0.00,2.44,,0.16,0.05,1.00,0.70,1.70,0.18,0.00,31.00,0.27,1.10,12.00
"Bhaji, vegetable, with butter, homemade",Recipe from literature sources. Mixed vegetables,68.40,0.31,1.90,15.30,10.30,185.00,766,5.10,0.6,4.70,1.8,Tr,1.5,1.4,0.0,0.1,0.0,2.4,N,,9.49,,,,,,,,3.83,,,,0.65,,,,,,0.52,38.50,145.00,346.00,30.00,17.00,43.00,0.77,0.05,0.30,293.00,0.30,Tr,9.00,173.00,3401.00,740.00,0.20,0.47,11.33,0.12,0.04,0.40,0.50,0.90,0.21,0.10,13.00,0.29,N,10.00
"Bhaji, vegetable, with rapeseed oil, homemade",Recipe from literature sources. Mixed vegetables,65.70,0.29,1.80,18.50,10.10,213.00,879,5.10,,4.60,1.8,,1.5,1.4,0.0,0.0,0.0,2.4,N,,1.64,,,,,,,,10.95,,,,5.42,,,,,,Tr,0.00,16.00,341.00,27.00,17.00,38.00,0.79,0.05,0.30,43.00,0.30,1.00,4.00,0.00,3282.00,547.00,0.00,4.06,,0.12,0.03,0.40,0.50,0.90,0.22,0.00,13.00,0.29,N,10.00
Bicarbonate of soda,As sodium bicarbonate,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.00,,,,,,,,0.00,,,,0.00,,,,,,,0.00,27380.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Biryani, chicken, takeaway","10 samples, 2 from different establishments in each of 5 regions. Consists of chicken fried in oil with saffron flavoured rice and a curry sauce that contains vegetables and coconut.",66.90,1.36,8.50,7.40,16.60,163.00,684,11.80,3.9,0.90,0.2,,0.5,0.2,Tr,Tr,0.0,1.1,1.2,28.46,2.01,23.05,1.63,5.40,0.38,42.02,2.97,42.54,3.00,28.65,2.03,29.00,2.05,28.03,1.98,0.43,0.03,0.52,0.04,20.60,263.00,170.00,23.00,16.00,87.00,1.33,0.08,0.60,370.00,0.25,7.00,5.00,N,N,N,0.60,1.39,,0.03,N,2.80,1.50,4.30,0.13,N,N,0.58,1.40,Tr
"Biscuits, cheese flavoured","10 samples, 5 products, including Cheddars, Mini Cheddars, cheese melts and cheese savouries",3.10,1.84,10.50,28.10,53.20,494.00,2069,50.50,,2.70,Tr,Tr,Tr,2.7,Tr,Tr,0.0,2.4,4.5,43.40,11.67,9.38,2.53,0.33,0.10,45.40,12.09,45.81,12.20,9.80,2.62,9.80,2.62,43.04,11.57,0.36,0.10,0.40,0.11,18.40,882.00,247.00,263.00,34.00,249.00,2.08,0.16,1.40,650.00,0.84,5.00,Tr,49.00,Tr,49.00,Tr,8.71,,0.25,0.10,2.10,2.10,4.20,0.07,0.20,35.00,0.81,6.00,0.00
"Biscuits, cookies, chocolate chip, American style","10 samples, 10 products, including milk, plain and white chocolate from instore bakeries and catering outlets",6.90,0.91,5.20,21.30,60.60,440.00,1845,20.00,,40.50,Tr,Tr,Tr,40.5,Tr,Tr,0.0,1.8,2.5,47.00,9.58,9.78,2.01,2.62,0.55,39.20,7.90,8.30,7.99,12.50,2.56,12.50,2.56,46.59,9.51,0.41,0.07,0.40,0.08,35.50,422.00,252.00,108.00,36.00,155.00,2.49,0.17,0.70,280.00,0.44,12.00,6.00,Tr,Tr,Tr,Tr,2.39,,0.07,0.08,0.80,1.10,1.90,0.05,0.30,12.00,0.49,5.00,0.00
"Biscuits, cookies, chocolate chip, standard","10 samples, 7 products, including Maryland, Fox's and own brand",3.60,0.94,5.40,24.90,60.00,471.00,1973,30.00,,30.00,Tr,Tr,Tr,30.0,Tr,Tr,0.0,2.2,3.0,51.10,12.15,9.84,2.35,0.52,0.12,37.80,8.96,37.91,8.99,10.40,2.47,10.40,2.47,51.00,12.14,0.10,0.01,0.10,0.03,2.90,298.00,217.00,117.00,34.00,132.00,2.30,0.22,0.70,198.00,0.57,4.00,6.00,Tr,Tr,Tr,0.00,2.19,,0.13,0.08,0.90,1.10,2.00,0.03,0.00,36.00,0.49,5.10,0.00
"Biscuits, digestive, half coated in chocolate","10 samples, 6 products, including milk and plain chocolate",1.80,1.11,6.30,25.70,61.80,488.00,2047,37.50,,24.30,Tr,Tr,Tr,24.3,Tr,Tr,0.0,3.1,2.1,51.60,12.68,9.22,2.27,0.34,0.08,36.10,8.83,36.26,8.87,9.60,2.35,9.60,2.35,51.56,12.67,0.04,0.01,0.20,0.04,6.10,351.00,258.00,100.00,37.00,124.00,2.14,0.32,0.80,280.00,0.66,3.00,8.00,Tr,Tr,Tr,Tr,2.35,,0.11,0.07,2.20,1.30,3.40,0.07,0.10,7.00,0.59,4.80,0.00
"Biscuits, digestive, plain","10 samples, 7 products",2.80,1.09,6.20,21.30,65.60,463.00,1943,48.10,,17.50,Tr,Tr,Tr,17.5,Tr,Tr,0.0,2.7,3.8,42.29,7.71,10.76,2.19,0.42,0.08,50.00,10.18,50.06,10.19,11.20,2.28,11.20,2.28,42.29,7.72,,,0.10,0.01,2.40,561.00,215.00,95.00,31.00,119.00,1.80,0.21,0.90,360.00,0.91,4.00,Tr,0.00,0.00,0.00,0.00,5.32,1.51,0.12,0.02,1.90,1.20,3.10,0.07,0.00,11.00,0.48,3.50,0.00
"Biscuits, digestive, with oats, plain","9 samples, 4 products, including Hobnobs and own label",3.00,1.09,6.40,22.90,66.40,480.00,2017,40.50,,25.90,1.2,Tr,0.9,23.9,Tr,Tr,0.0,4.4,7.2,27.10,5.94,13.35,2.93,0.56,0.12,58.10,12.72,58.17,12.73,13.90,3.05,13.90,3.05,27.09,5.94,0.01,Tr,0.10,0.01,9.50,328.00,248.00,34.00,60.00,214.00,2.15,0.28,1.40,210.00,2.15,4.00,Tr,0.00,0.00,0.00,0.00,5.71,,0.18,0.13,1.60,1.60,3.20,0.14,0.00,13.00,0.60,9.00,0.00
"Biscuits, fully coated with chocolate","10 samples, 6 products, including Breakaway, Rocky and chocolate fingers",1.90,1.12,6.40,27.20,62.80,506.00,2120,23.50,,39.30,Tr,Tr,Tr,33.3,Tr,5.9,0.0,2.2,1.7,57.61,15.06,6.67,1.74,0.31,0.09,34.00,8.74,34.36,8.84,7.00,1.83,7.00,1.83,57.36,14.92,0.25,0.06,0.40,0.09,16.60,229.00,344.00,163.00,46.00,204.00,2.01,0.28,1.00,180.00,0.68,3.00,14.00,28.00,Tr,28.00,Tr,1.57,3.46,0.14,0.19,1.20,1.30,2.60,0.09,Tr,14.00,0.60,3.00,0.00
"Biscuits, fully coated with chocolate, with cream","10 samples, 8 products, including Penguin, Club, Classic, own label",1.60,0.90,5.20,28.20,59.00,496.00,2075,21.60,,37.40,Tr,Tr,Tr,34.1,Tr,3.3,0.0,1.9,3.1,58.60,15.81,6.99,1.89,0.26,0.07,33.20,8.90,33.45,8.96,7.30,1.96,7.30,1.96,58.42,15.76,0.18,0.05,0.20,0.07,18.30,174.00,337.00,146.00,42.00,156.00,2.95,0.35,0.80,160.00,0.53,7.00,14.00,Tr,14.00,2.00,Tr,1.78,,0.11,0.13,1.30,1.00,2.30,0.06,0.10,9.00,0.67,5.00,0.00
"Biscuits, fully coated with chocolate, with marshmallow","10 samples, 7 products, including teacakes and Wagon Wheels",9.80,0.78,4.50,19.00,59.90,413.00,1737,18.50,,41.40,6.0,Tr,Tr,28.7,6.7,Tr,0.0,1.6,2.7,58.60,10.64,6.35,1.16,0.69,0.13,33.70,6.09,33.93,6.13,7.00,1.28,7.00,1.28,58.44,10.63,0.16,0.01,0.20,0.04,5.70,132.00,259.00,102.00,28.00,103.00,1.68,0.26,0.60,121.00,0.36,3.00,14.00,Tr,Tr,Tr,Tr,0.83,,0.06,0.13,0.60,0.80,1.50,0.04,0.20,8.00,N,N,0.00
"Biscuits, ginger nuts","10 samples, 8 products",3.30,0.84,4.80,15.70,75.30,443.00,1867,44.00,,31.30,3.0,Tr,2.4,22.6,3.3,Tr,0.0,1.5,2.2,48.34,7.26,11.17,1.68,0.35,0.05,39.50,5.92,39.58,5.93,11.50,1.73,11.50,1.73,48.31,7.26,0.03,Tr,0.10,0.01,2.60,429.00,154.00,43.00,18.00,68.00,1.50,0.10,0.50,360.00,0.68,2.00,Tr,0.00,N,N,0.00,2.10,1.60,0.10,0.03,0.90,1.10,2.00,0.07,0.00,11.00,0.48,3.50,0.00
"Biscuits, gingernut, homemade",Recipe,4.70,0.78,4.50,19.80,70.00,459.00,1928,37.40,,32.60,8.2,,8.2,16.0,Tr,0.1,,1.4,2.1,,12.27,,,,,,,,4.96,,,,0.86,,,,,,0.66,49.40,626.00,133.00,142.00,16.00,223.00,1.92,0.09,0.50,325.00,0.97,1.00,9.00,222.00,145.00,246.00,0.20,0.72,,0.10,0.04,0.90,1.00,1.90,0.08,0.10,4.00,0.19,0.90,Tr
"Biscuits, iced","5 samples, 2 products, including Party Rings, Ice Gems",2.80,0.85,4.80,10.80,77.10,406.00,1715,32.50,,44.60,Tr,Tr,Tr,44.6,Tr,Tr,0.0,1.6,0.6,48.20,4.98,13.03,1.35,0.44,0.05,37.80,3.89,37.87,3.90,13.50,1.39,13.50,1.39,48.17,4.98,0.03,Tr,0.10,0.01,6.90,274.00,112.00,74.00,13.00,90.00,1.20,0.12,0.40,230.00,0.40,5.00,Tr,0.00,151.00,25.00,0.00,1.21,,0.12,0.02,1.30,0.80,2.10,0.03,0.00,7.00,0.37,2.30,0.00
"Biscuits, jam filled","10 samples, 6 products, including Jammie Dodgers and own label",6.50,0.92,5.20,14.40,74.00,428.00,1806,41.00,,33.00,6.1,Tr,2.1,19.4,5.4,Tr,0.0,2.1,1.2,49.00,6.75,11.74,1.62,0.30,0.04,38.20,5.26,38.28,5.26,12.10,1.66,12.10,1.66,48.96,6.75,0.04,Tr,0.10,0.01,4.80,164.00,135.00,121.00,14.00,94.00,1.11,0.12,0.40,190.00,0.44,2.00,Tr,0.00,Tr,Tr,0.00,2.12,,0.09,0.01,0.90,0.90,1.80,0.05,0.00,Tr,Tr,Tr,0.00
"Biscuits, melting moments, homemade",Recipe,3.40,0.60,3.40,37.10,57.80,564.00,2354,37.10,,N,N,,N,N,N,0.2,0.0,1.2,N,,23.31,,,,,,,,9.38,,,,1.37,,,,,,1.28,94.80,335.00,81.00,48.00,10.00,54.00,0.96,0.08,0.30,N,N,1.00,N,426.00,271.00,471.00,0.40,1.02,3.54,0.07,0.05,0.50,0.70,1.20,0.05,0.10,3.00,0.13,0.70,Tr
"Biscuits, oat based, chocolate, half coated",Recipe,2.70,1.10,6.60,24.90,63.90,489.00,2054,30.80,,33.10,0.9,,0.7,29.4,Tr,2.2,0.0,3.7,6.0,,9.00,,,,,,,,11.98,,,,2.59,,,,,,0.05,12.50,271.00,297.00,80.00,59.00,216.00,2.13,0.29,1.30,205.00,1.71,4.00,12.00,16.00,5.00,17.00,Tr,4.72,,0.17,0.23,1.30,1.80,3.10,0.16,0.50,12.00,0.63,7.40,0.00
"Biscuits, plain, homemade",Recipe,7.80,1.06,6.20,22.10,66.00,471.00,1979,39.70,,26.40,Tr,,Tr,26.2,0.0,0.1,,1.7,2.0,,13.39,,,,,,,,5.70,,,,1.00,,,,,,0.71,95.90,201.00,112.00,60.00,14.00,84.00,1.22,0.11,0.50,369.00,0.35,4.00,16.00,252.00,150.00,277.00,0.60,0.91,2.20,0.11,0.09,0.80,1.40,2.20,0.08,0.40,7.00,0.30,3.30,Tr
"Biscuits, plain, reduced fat","10 samples, 5 products, including digestives, rich tea and reduced fat Hobnobs",3.10,1.16,6.60,13.50,75.70,432.00,1823,54.50,,21.20,0.9,Tr,Tr,20.3,Tr,Tr,0.0,2.7,4.4,33.40,4.31,13.72,1.77,0.64,0.08,51.50,6.63,51.58,6.64,14.40,1.86,14.40,1.86,33.28,4.30,0.12,0.01,0.10,0.01,1.70,471.00,193.00,102.00,30.00,124.00,2.01,0.18,0.80,302.00,0.91,4.00,Tr,0.00,0.00,0.00,0.00,3.37,,0.12,0.02,1.90,1.20,3.10,0.07,0.00,11.00,0.48,3.50,0.00
"Biscuits, sandwich, cream","12 samples, 12 products, including Custard Creams and Bourbons",2.30,0.88,5.00,23.30,65.80,477.00,2001,36.00,,29.90,1.6,Tr,Tr,27.2,Tr,1.1,0.0,2.3,3.1,59.80,13.31,Tr,2.00,0.03,0.05,30.40,6.75,30.48,6.77,9.20,2.06,9.20,2.06,59.80,13.31,0.00,0.00,0.10,0.02,2.70,188.00,253.00,118.00,29.00,102.00,2.19,0.20,0.60,190.00,0.72,2.00,8.00,Tr,14.00,2.00,0.00,2.25,3.80,0.16,0.05,1.60,1.00,2.60,0.06,0.00,11.00,0.56,3.00,0.00
"Biscuits, semi-sweet","10 samples, 7 products, including rich tea, Morning Coffee",2.00,1.13,6.40,15.10,75.40,444.00,1874,55.10,,20.30,0.6,Tr,Tr,19.7,Tr,Tr,0.0,1.9,2.7,35.20,5.08,12.15,1.76,0.82,0.12,51.50,7.42,51.57,7.43,13.00,1.88,13.00,1.88,35.10,5.08,0.10,0.01,0.10,0.01,4.90,358.00,168.00,157.00,23.00,99.00,2.03,0.09,1.00,290.00,0.77,3.00,Tr,0.00,0.00,0.00,0.00,2.85,1.71,0.12,0.01,1.40,1.30,2.60,0.06,0.00,12.00,0.48,3.50,0.00
