name,category,usda_id,source,energy,protein,fat,sat_fat,carbohydrate,total_sugar,starch,fibre,sodium,potassium,calcium,magnesium,phosphorus,iron,copper,zinc,manganese,selenium,iodine,vit_a,vit_c,vit_d,vit_e,vit_k,vit_b1,vit_b2,vit_b3,vit_b6,vit_b12,vit_b9,vit_b7
"Classic mixed vegetables, canned, reduced sodium, cooked, no added fat",Other vegetables and combinations,2710022,survey.json,44,1.95,0.45,0.07,9.19,2.93,,2.4,0.015,0.131,0.024,0.015,0.039,0.00081,0.000076,0.00045,0,0.0000007,0,0,0.0045,0,0.0002,0.0000173,0.000045,0.000045,0.000658,0.000066,0,0.000027,0
"Classic mixed vegetables, canned, reduced sodium, cooked, fat added, NS as to fat type",Other vegetables and combinations,2710023,survey.json,68,1.9,3.2,0.79,8.93,2.85,,2.3,0.024,0.128,0.024,0.014,0.038,0.00079,0.000073,0.00043,0,0.0000007,0,0.000012,0.0043,0,0.00061,0.0000191,0.000044,0.000044,0.000639,0.000082,0,0.000026,0
"Classic mixed vegetables, canned, reduced sodium, cooked with oil",Other vegetables and combinations,2710024,survey.json,71,1.89,3.59,0.488,8.93,2.84,,2.3,0.015,0.127,0.023,0.014,0.038,0.00079,0.000073,0.00043,0,0.0000007,0,0,0.0043,0,0.0008,0.00002,0.000044,0.000044,0.000639,0.000064,0,0.000026,0
"Classic mixed vegetables, canned, reduced sodium, cooked with butter or margarine",Other vegetables and combinations,2710025,survey.json,64,1.91,2.81,1.09,8.94,2.85,,2.3,0.033,0.128,0.024,0.014,0.038,0.00079,0.000073,0.00043,0,0.0000007,0,0.000024,0.0043,0.0000001,0.00043,0.0000182,0.000044,0.000044,0.000639,0.0001,0,0.000026,0
"Peas and corn, cooked, no added fat",Other starchy vegetables,2710026,survey.json,79,3.84,0.47,0.076,16.7,3.72,,3.4,0.152,0.171,0.014,0.025,0.078,0.00099,0.000076,0.00065,0,0.0000008,0,0,0.0067,0,0.00005,0.0000121,0.000156,0.000081,0.00139,0.000106,0,0.000047,0
"Peas and corn, cooked, fat added",Other starchy vegetables,2710027,survey.json,100,3.74,3,0.74,16.2,3.62,,3.3,0.156,0.166,0.013,0.024,0.076,0.00097,0.000074,0.00063,0,0.0000008,0,0.000011,0.0065,0,0.00043,0.0000139,0.000152,0.000079,0.00135,0.000119,0,0.000046,0
Ratatouille,Vegetable dishes,2710028,survey.json,67,1.09,4.73,0.752,5.77,3.39,,1.9,0.151,0.219,0.021,0.014,0.029,0.00044,0.000071,0.00022,0,0.0000004,0,0,0.0187,0,0.00132,0.0000051,0.000156,0.000055,0.00055,0.000128,0,0.000018,0
"Vegetables, stew type, cooked, fat added",Other vegetables and combinations,2710029,survey.json,97,1.44,3.64,0.937,15.1,3.04,,2,0.181,0.309,0.018,0.018,0.042,0.00025,0.000127,0.00024,0,0.0000002,0,0.000015,0.0088,0,0.00075,0.0000086,0.000076,0.000044,0.0011,0.000226,0,0.000018,0
"Vegetables, stew type, cooked, no added fat",Other vegetables and combinations,2710030,survey.json,69,1.49,0.18,0.032,15.7,3.14,,2.1,0.169,0.321,0.018,0.018,0.044,0.00026,0.000133,0.00025,0,0.0000002,0,0,0.0092,0,0.00024,0.0000058,0.000079,0.000046,0.00115,0.000212,0,0.000019,0
"Broccoli and cauliflower, cooked, no added fat",Other vegetables and combinations,2710031,survey.json,23,2.35,0.17,0.026,4.54,1.26,,2.8,0.13,0.14,0.025,0.011,0.036,0.00051,0.000029,0.0002,0,0.0000006,0,0,0.0356,0,0.00069,0.0000498,0.000046,0.000067,0.000383,0.000109,0,0.000048,0
"Broccoli and cauliflower, cooked, fat added",Other vegetables and combinations,2710032,survey.json,46,2.29,2.71,0.691,4.41,1.23,,2.8,0.135,0.136,0.025,0.011,0.036,0.0005,0.000028,0.0002,0,0.0000006,0,0.000011,0.0346,0,0.00105,0.0000505,0.000045,0.000065,0.000372,0.000122,0,0.000047,0
"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,2710033,survey.json,28,1.76,0.34,0.057,5.59,2.19,,3,0.146,0.157,0.028,0.011,0.035,0.00052,0.000047,0.00025,0,0.0000006,0,0,0.0245,0,0.00079,0.0000378,0.000041,0.000057,0.000393,0.0001,0,0.000036,0
"Broccoli, cauliflower and carrots, cooked, fat added",Other vegetables and combinations,2710034,survey.json,50,1.72,2.9,0.728,5.43,2.13,,2.9,0.151,0.153,0.028,0.011,0.034,0.0005,0.000045,0.00025,0,0.0000006,0,0.000011,0.0238,0,0.00116,0.0000388,0.000039,0.000055,0.000382,0.000114,0,0.000035,0
"Asian stir fry vegetables, cooked, no added fat",Other vegetables and combinations,2710035,survey.json,50,2.07,0.3,0.047,9.93,3.63,,2.9,0.141,0.251,0.036,0.018,0.049,0.00104,0.000083,0.0004,0,0.0000008,0,0,0.0363,0,0.00048,0.0000383,0.000055,0.000096,0.000794,0.000183,0,0.000035,0
